Day,TSLA: (United States),GOOGL: (United States),MSFT: (United States),AMZN: (United States),AAPL: (United States)
2020-01-01,3,1,1,2,3
2020-01-02,10,3,6,9,14
2020-01-03,16,3,5,9,14
2020-01-04,4,2,2,2,3
2020-01-05,2,2,1,2,2
2020-01-06,10,4,5,8,10
2020-01-07,15,4,5,8,10
2020-01-08,21,5,7,9,13
2020-01-09,20,5,6,8,15
2020-01-10,14,5,6,7,14
2020-01-11,4,2,1,2,3
2020-01-12,2,2,1,2,2
2020-01-13,21,5,6,7,12
2020-01-14,24,4,6,8,13
2020-01-15,19,4,6,7,13
2020-01-16,21,5,7,8,12
2020-01-17,16,5,8,7,11
2020-01-18,4,2,2,2,3
2020-01-19,2,2,1,1,2
2020-01-20,5,2,2,2,4
2020-01-21,17,5,5,6,9
2020-01-22,26,5,6,8,11
2020-01-23,22,5,6,7,10
2020-01-24,17,4,6,6,11
2020-01-25,5,2,2,2,3
2020-01-26,3,2,1,1,2
2020-01-27,14,5,6,7,13
2020-01-28,15,5,7,8,27
2020-01-29,34,5,15,9,27
2020-01-30,47,5,17,26,15
2020-01-31,24,5,9,34,14
2020-02-01,7,2,3,6,4
2020-02-02,3,2,1,3,2
2020-02-03,44,7,7,12,13
2020-02-04,100,7,9,13,13
2020-02-05,96,5,12,11,13
2020-02-06,60,5,10,10,12
2020-02-07,34,5,11,11,11
2020-02-08,9,2,3,3,3
2020-02-09,5,2,2,2,2
2020-02-10,30,5,11,11,11
2020-02-11,26,5,15,13,11
2020-02-12,23,5,15,12,11
2020-02-13,29,5,13,11,11
2020-02-14,25,4,12,9,9
2020-02-15,6,2,3,3,2
2020-02-16,4,2,2,2,2
2020-02-17,8,3,3,3,5
2020-02-18,24,5,8,9,20
2020-02-19,36,5,9,9,13
2020-02-20,28,5,9,8,11
2020-02-21,23,5,10,8,11
2020-02-22,6,2,3,3,3
2020-02-23,4,2,2,1,2
2020-02-24,24,5,12,12,18
2020-02-25,26,5,13,12,18
2020-02-26,21,5,13,11,16
2020-02-27,28,5,17,14,20
2020-02-28,30,6,18,16,25
2020-02-29,8,2,4,4,6
2020-03-01,4,2,3,3,3
2020-03-02,24,5,15,12,24
2020-03-03,23,5,14,12,22
2020-03-04,20,5,12,10,19
2020-03-05,19,5,11,10,16
2020-03-06,19,5,11,10,17
2020-03-07,5,2,3,3,4
2020-03-08,4,2,2,2,3
2020-03-09,26,5,17,18,25
2020-03-10,21,5,14,14,22
2020-03-11,21,5,13,13,19
2020-03-12,25,5,18,19,24
2020-03-13,24,5,19,19,25
2020-03-14,6,3,5,5,7
2020-03-15,5,2,3,3,5
2020-03-16,23,5,18,19,24
2020-03-17,23,5,15,21,22
2020-03-18,30,5,16,19,22
2020-03-19,28,5,14,18,20
2020-03-20,25,4,13,16,17
2020-03-21,7,3,3,5,5
2020-03-22,4,2,2,4,4
2020-03-23,18,6,13,16,19
2020-03-24,20,6,14,16,22
2020-03-25,20,5,14,14,20
2020-03-26,18,5,13,13,18
2020-03-27,16,5,11,11,15
2020-03-28,5,3,3,3,4
2020-03-29,3,3,2,2,3
2020-03-30,13,5,12,11,13
2020-03-31,13,5,12,10,12
2020-04-01,14,5,12,10,12
2020-04-02,21,5,10,9,12
2020-04-03,20,5,9,8,10
2020-04-04,4,3,2,3,3
2020-04-05,3,3,2,2,3
2020-04-06,14,5,11,10,13
2020-04-07,14,5,11,10,13
2020-04-08,15,5,10,10,12
2020-04-09,13,5,10,10,11
2020-04-10,7,4,5,5,5
2020-04-11,2,2,2,2,2
2020-04-12,2,2,1,2,2
2020-04-13,18,5,8,14,10
2020-04-14,23,5,10,18,13
2020-04-15,22,5,9,18,12
2020-04-16,20,5,11,20,12
2020-04-17,18,5,11,18,15
2020-04-18,4,3,3,4,3
2020-04-19,3,2,2,4,2
2020-04-20,14,5,9,15,11
2020-04-21,16,5,10,16,11
2020-04-22,16,5,9,14,10
2020-04-23,13,5,9,14,11
2020-04-24,12,5,8,12,9
2020-04-25,3,2,3,3,2
2020-04-26,3,3,2,3,2
2020-04-27,17,5,9,13,10
2020-04-28,18,8,10,16,11
2020-04-29,28,8,21,16,12
2020-04-30,29,6,18,33,24
2020-05-01,31,5,10,33,18
2020-05-02,12,2,3,6,3
2020-05-03,6,2,2,4,2
2020-05-04,18,5,9,14,10
2020-05-05,18,5,10,12,12
2020-05-06,14,5,9,11,10
2020-05-07,15,5,9,11,10
2020-05-08,16,4,9,10,11
2020-05-09,5,2,2,3,3
2020-05-10,4,2,2,2,2
2020-05-11,17,4,8,11,12
2020-05-12,18,5,9,11,12
2020-05-13,15,4,9,10,11
2020-05-14,13,5,8,9,10
2020-05-15,12,4,7,9,11
2020-05-16,3,3,2,3,3
2020-05-17,3,2,1,2,2
2020-05-18,12,5,8,10,11
2020-05-19,11,4,8,11,10
2020-05-20,10,4,7,11,9
2020-05-21,10,4,7,12,9
2020-05-22,9,4,6,9,8
2020-05-23,3,2,2,3,2
2020-05-24,2,2,1,2,2
2020-05-25,3,2,2,2,2
2020-05-26,11,4,8,10,10
2020-05-27,13,4,8,10,10
2020-05-28,10,4,7,9,9
2020-05-29,10,3,6,8,8
2020-05-30,5,2,2,2,2
2020-05-31,4,2,1,2,1
2020-06-01,22,5,9,11,11
2020-06-02,21,4,9,12,12
2020-06-03,17,5,10,12,12
2020-06-04,15,4,9,11,11
2020-06-05,15,4,10,12,14
2020-06-06,4,3,3,4,4
2020-06-07,3,2,2,2,2
2020-06-08,20,4,10,12,13
2020-06-09,23,5,11,17,17
2020-06-10,33,5,15,19,20
2020-06-11,32,5,15,19,20
2020-06-12,28,4,13,15,17
2020-06-13,6,2,3,4,4
2020-06-14,4,2,2,2,3
2020-06-15,21,4,10,13,14
2020-06-16,21,4,12,13,16
2020-06-17,19,4,11,13,16
2020-06-18,19,4,10,12,13
2020-06-19,18,3,11,13,16
2020-06-20,5,3,3,4,4
2020-06-21,3,2,2,3,3
2020-06-22,15,4,13,13,19
