Category: All categories,,,,,
,,,,,
Day,TSLA: (United States),GOOGL: (United States),MSFT: (United States),AMZN: (United States),AAPL: (United States)
01/01/2020,3,1,1,2,3
01/02/2020,10,3,6,9,14
01/03/2020,16,3,5,9,14
01/04/2020,4,2,2,2,3
01/05/2020,2,2,1,2,2
01/06/2020,10,4,5,8,10
01/07/2020,15,4,5,8,10
01/08/2020,21,5,7,9,13
01/09/2020,20,5,6,8,15
01/10/2020,14,5,6,7,14
01/11/2020,4,2,1,2,3
01/12/2020,2,2,1,2,2
01/13/2020,21,5,6,7,12
01/14/2020,24,4,6,8,13
01/15/2020,19,4,6,7,13
01/16/2020,21,5,7,8,12
01/17/2020,16,5,8,7,11
01/18/2020,4,2,2,2,3
01/19/2020,2,2,1,1,2
01/20/2020,5,2,2,2,4
01/21/2020,17,5,5,6,9
01/22/2020,26,5,6,8,11
01/23/2020,22,5,6,7,10
01/24/2020,17,4,6,6,11
01/25/2020,5,2,2,2,3
01/26/2020,3,2,1,1,2
01/27/2020,14,5,6,7,13
01/28/2020,15,5,7,8,27
01/29/2020,34,5,15,9,27
01/30/2020,47,5,17,26,15
01/31/2020,24,5,9,34,14
02/01/2020,7,2,3,6,4
02/02/2020,3,2,1,3,2
02/03/2020,44,7,7,12,13
02/04/2020,100,7,9,13,13
02/05/2020,96,5,12,11,13
02/06/2020,60,5,10,10,12
02/07/2020,34,5,11,11,11
02/08/2020,9,2,3,3,3
02/09/2020,5,2,2,2,2
02/10/2020,30,5,11,11,11
02/11/2020,26,5,15,13,11
02/12/2020,23,5,15,12,11
02/13/2020,29,5,13,11,11
02/14/2020,25,4,12,9,9
02/15/2020,6,2,3,3,2
02/16/2020,4,2,2,2,2
02/17/2020,8,3,3,3,5
02/18/2020,24,5,8,9,20
02/19/2020,36,5,9,9,13
02/20/2020,28,5,9,8,11
02/21/2020,23,5,10,8,11
02/22/2020,6,2,3,3,3
02/23/2020,4,2,2,1,2
02/24/2020,24,5,12,12,18
02/25/2020,26,5,13,12,18
02/26/2020,21,5,13,11,16
02/27/2020,28,5,17,14,20
02/28/2020,30,6,18,16,25
02/29/2020,8,2,4,4,6
03/01/2020,4,2,3,3,3
03/02/2020,24,5,15,12,24
03/03/2020,23,5,14,12,22
03/04/2020,20,5,12,10,19
03/05/2020,19,5,11,10,16
03/06/2020,19,5,11,10,17
03/07/2020,5,2,3,3,4
03/08/2020,4,2,2,2,3
03/09/2020,26,5,17,18,25
03/10/2020,21,5,14,14,22
03/11/2020,21,5,13,13,19
03/12/2020,25,5,18,19,24
03/13/2020,24,5,19,19,25
03/14/2020,6,3,5,5,7
03/15/2020,5,2,3,3,5
03/16/2020,23,5,18,19,24
03/17/2020,23,5,15,21,22
03/18/2020,30,5,16,19,22
03/19/2020,28,5,14,18,20
03/20/2020,25,4,13,16,17
03/21/2020,7,3,3,5,5
03/22/2020,4,2,2,4,4
03/23/2020,18,6,13,16,19
03/24/2020,20,6,14,16,22
03/25/2020,20,5,14,14,20
03/26/2020,18,5,13,13,18
03/27/2020,16,5,11,11,15
03/28/2020,5,3,3,3,4
03/29/2020,3,3,2,2,3
03/30/2020,13,5,12,11,13
03/31/2020,13,5,12,10,12
04/01/2020,14,5,12,10,12
04/02/2020,21,5,10,9,12
04/03/2020,20,5,9,8,10
04/04/2020,4,3,2,3,3
04/05/2020,3,3,2,2,3
04/06/2020,14,5,11,10,13
04/07/2020,14,5,11,10,13
04/08/2020,15,5,10,10,12
04/09/2020,13,5,10,10,11
04/10/2020,7,4,5,5,5
04/11/2020,2,2,2,2,2
04/12/2020,2,2,1,2,2
04/13/2020,18,5,8,14,10
04/14/2020,23,5,10,18,13
04/15/2020,22,5,9,18,12
04/16/2020,20,5,11,20,12
04/17/2020,18,5,11,18,15
04/18/2020,4,3,3,4,3
04/19/2020,3,2,2,4,2
04/20/2020,14,5,9,15,11
04/21/2020,16,5,10,16,11
04/22/2020,16,5,9,14,10
04/23/2020,13,5,9,14,11
04/24/2020,12,5,8,12,9
04/25/2020,3,2,3,3,2
04/26/2020,3,3,2,3,2
04/27/2020,17,5,9,13,10
04/28/2020,18,8,10,16,11
04/29/2020,28,8,21,16,12
04/30/2020,29,6,18,33,24
05/01/2020,31,5,10,33,18
05/02/2020,12,2,3,6,3
05/03/2020,6,2,2,4,2
05/04/2020,18,5,9,14,10
05/05/2020,18,5,10,12,12
05/06/2020,14,5,9,11,10
05/07/2020,15,5,9,11,10
05/08/2020,16,4,9,10,11
05/09/2020,5,2,2,3,3
05/10/2020,4,2,2,2,2
05/11/2020,17,4,8,11,12
05/12/2020,18,5,9,11,12
05/13/2020,15,4,9,10,11
05/14/2020,13,5,8,9,10
05/15/2020,12,4,7,9,11
05/16/2020,3,3,2,3,3
05/17/2020,3,2,1,2,2
05/18/2020,12,5,8,10,11
05/19/2020,11,4,8,11,10
05/20/2020,10,4,7,11,9
05/21/2020,10,4,7,12,9
05/22/2020,9,4,6,9,8
05/23/2020,3,2,2,3,2
05/24/2020,2,2,1,2,2
05/25/2020,3,2,2,2,2
05/26/2020,11,4,8,10,10
05/27/2020,13,4,8,10,10
05/28/2020,10,4,7,9,9
05/29/2020,10,3,6,8,8
05/30/2020,5,2,2,2,2
05/31/2020,4,2,1,2,1
